STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1990-12-31,5.6,25.0,51.0,,10.0,-13.3,-13.3
USC00439184,1991-01-01,0.0,0.0,51.0,,-12.2,-21.1,-20.0
USC00439184,1991-01-02,0.0,0.0,51.0,,-6.7,-9.4,-9.4
USC00439184,1991-01-03,1.0,41.0,102.0,,0.6,-12.2,-12.2
USC00439184,1991-01-04,0.5,18.0,102.0,,-9.4,-19.4,-10.6
USC00439184,1991-01-05,0.0,0.0,102.0,,-5.0,-15.0,-11.7
USC00439184,1991-01-06,0.8,13.0,127.0,,-2.8,-6.1,-5.6
USC00439184,1991-01-07,0.5,13.0,127.0,,-2.2,-8.9,-8.9
USC00439184,1991-01-08,0.0,0.0,127.0,,-8.9,-27.2,-25.6
USC00439184,1991-01-09,0.0,0.0,127.0,,-11.1,-21.1,-12.2
USC00439184,1991-01-10,4.3,76.0,203.0,,-1.7,-11.1,-6.7
USC00439184,1991-01-11,0.0,0.0,203.0,,-6.7,-26.1,-25.0
USC00439184,1991-01-12,18.5,216.0,432.0,,-12.2,-16.7,-12.8
USC00439184,1991-01-13,3.3,43.0,457.0,,-5.6,-14.4,-13.3
USC00439184,1991-01-14,0.0,0.0,457.0,,-11.1,-23.3,-16.7
USC00439184,1991-01-15,0.0,0.0,432.0,,-5.6,-7.8,-7.8
USC00439184,1991-01-16,0.0,0.0,432.0,,-0.6,-2.8,-2.8
USC00439184,1991-01-17,17.0,0.0,,,1.7,0.0,0.6
USC00439184,1991-01-18,2.8,102.0,,,1.1,-5.6,-5.6
USC00439184,1991-01-19,4.8,,,,-1.1,-17.8,-17.8
USC00439184,1991-01-20,0.0,0.0,,,-6.1,-13.3,-7.8
USC00439184,1991-01-21,0.0,5.0,,,1.7,-18.9,-18.9
USC00439184,1991-01-22,0.0,0.0,,,-10.6,-30.6,-29.4
USC00439184,1991-01-23,0.0,0.0,,,-17.8,-31.7,-21.7
USC00439184,1991-01-24,0.3,13.0,,,-3.9,-11.1,-6.7
USC00439184,1991-01-25,1.0,51.0,,,-6.1,-26.1,-26.1
USC00439184,1991-01-26,0.0,0.0,,,-16.1,-25.6,-25.6
USC00439184,1991-01-27,0.0,0.0,,,-7.8,-17.8,-16.1
USC00439184,1991-01-28,1.5,20.0,,,-2.8,-8.3,-5.0
USC00439184,1991-01-29,0.0,0.0,,,1.1,-7.2,-2.2
USC00439184,1991-01-30,0.0,0.0,,,0.0,-6.7,0.0
USC00439184,1991-01-31,8.9,,,,0.6,-11.7,-11.7
USC00439184,1991-02-01,2.5,38.0,,,-6.7,-15.6,-13.3
USC00439184,1991-02-02,0.0,0.0,,,-13.3,-29.4,-23.3
USC00439184,1991-02-03,0.0,0.0,,,2.8,-6.7,0.6
USC00439184,1991-02-04,0.0,0.0,,,11.1,-3.3,-3.3
USC00439184,1991-02-05,0.0,0.0,,,12.2,-3.3,-1.1
USC00439184,1991-02-06,0.0,0.0,,,10.6,0.6,1.7
USC00439184,1991-02-07,0.0,0.0,,,6.1,-1.1,-1.1
USC00439184,1991-02-08,5.1,38.0,,,1.7,-0.6,-0.6
USC00439184,1991-02-09,0.0,0.0,,,5.0,-8.9,-7.8
USC00439184,1991-02-10,0.0,0.0,,,4.4,-5.0,-1.1
USC00439184,1991-02-11,0.0,0.0,,,-0.6,-17.8,-17.8
USC00439184,1991-02-12,0.0,0.0,,,-7.2,-22.8,-22.8
USC00439184,1991-02-13,0.0,0.0,,,-12.2,-20.6,-15.0
USC00439184,1991-02-14,1.0,13.0,,,-0.6,-14.4,-7.8
USC00439184,1991-02-15,5.8,114.0,,,-1.1,-4.4,-4.4
USC00439184,1991-02-16,0.0,0.0,,,2.2,-23.3,-23.3
USC00439184,1991-02-17,0.0,0.0,,,-12.2,-20.6,-12.8
USC00439184,1991-02-18,0.0,0.0,,,-2.8,-23.3,-23.3
USC00439184,1991-02-19,2.0,25.0,483.0,,1.7,-8.3,-5.0
USC00439184,1991-02-20,6.4,0.0,,,5.6,-0.6,5.0
USC00439184,1991-02-21,2.3,0.0,,,5.6,-2.8,-2.8
USC00439184,1991-02-22,0.0,0.0,,,1.7,-3.3,-1.1
USC00439184,1991-02-23,2.3,0.0,,,7.2,-20.6,-20.6
USC00439184,1991-02-24,0.0,0.0,,,-9.4,-23.3,-17.8
USC00439184,1991-02-25,1.0,51.0,,,-6.7,-13.9,-10.6
USC00439184,1991-02-26,0.0,0.0,,,-2.8,-22.2,-21.1
USC00439184,1991-02-27,0.0,0.0,,,-1.1,-20.0,-17.8
USC00439184,1991-02-28,0.8,38.0,,,-4.4,-21.7,-10.6
USC00439184,1991-03-01,0.0,0.0,,,-1.1,-6.7,-2.8
USC00439184,1991-03-02,0.0,0.0,,,9.4,3.9,5.0
USC00439184,1991-03-03,7.1,0.0,,,10.6,1.1,2.2
USC00439184,1991-03-04,11.4,0.0,,,2.8,-0.6,-0.6
USC00439184,1991-03-05,12.4,0.0,,,2.2,-7.8,-7.8
USC00439184,1991-03-06,0.0,0.0,,,-2.2,-5.6,-5.6
USC00439184,1991-03-07,4.8,0.0,,,8.3,1.1,3.3
USC00439184,1991-03-08,0.3,0.0,,,3.9,-18.3,-16.7
USC00439184,1991-03-09,0.0,0.0,305.0,,-6.1,-15.0,-15.0
USC00439184,1991-03-10,0.0,0.0,305.0,,-4.4,-13.9,-13.9
USC00439184,1991-03-11,1.0,25.0,330.0,,-8.3,-13.3,-13.3
USC00439184,1991-03-12,0.0,0.0,330.0,,-6.7,-10.0,-7.8
USC00439184,1991-03-13,0.0,0.0,,,-2.2,-9.4,-7.8
USC00439184,1991-03-14,0.0,0.0,,,5.6,-3.9,-1.1
USC00439184,1991-03-15,0.0,0.0,,,2.8,-2.8,-2.8
USC00439184,1991-03-16,0.0,0.0,,,4.4,-8.3,-8.3
USC00439184,1991-03-17,0.0,0.0,,,5.0,-9.4,-9.4
USC00439184,1991-03-18,0.0,0.0,,,10.0,-6.1,-3.9
USC00439184,1991-03-19,3.6,0.0,,,3.9,0.0,0.0
USC00439184,1991-03-20,1.3,0.0,,,1.7,-1.1,-1.1
USC00439184,1991-03-21,0.0,0.0,,,0.0,-11.7,-11.7
USC00439184,1991-03-22,0.3,8.0,,,2.8,-9.4,-8.3
USC00439184,1991-03-23,0.0,0.0,,,7.8,-4.4,-4.4
USC00439184,1991-03-24,17.8,107.0,,,-1.1,-3.9,-2.8
USC00439184,1991-03-25,3.3,38.0,,,1.1,-1.1,-1.1
USC00439184,1991-03-26,0.8,0.0,,,2.2,-1.1,-1.1
USC00439184,1991-03-27,0.0,0.0,,,7.2,-1.7,-0.6
USC00439184,1991-03-28,7.4,0.0,,,7.2,2.2,5.6
USC00439184,1991-03-29,0.0,0.0,,,11.1,-1.1,0.0
USC00439184,1991-03-30,0.0,0.0,,,6.1,-3.9,-3.9
USC00439184,1991-03-31,0.0,0.0,203.0,,-1.1,-13.3,-13.3
USC00439184,1991-04-01,0.0,0.0,203.0,,6.7,-6.1,-5.6
USC00439184,1991-04-02,0.0,0.0,,,5.0,-2.2,-1.1
USC00439184,1991-04-03,1.3,25.0,,,5.6,-5.6,-5.6
USC00439184,1991-04-04,0.0,0.0,,,5.6,-6.1,-2.2
USC00439184,1991-04-05,0.0,0.0,0.0,,18.3,-2.2,-1.1
USC00439184,1991-04-06,0.0,0.0,0.0,,15.6,1.7,4.4
USC00439184,1991-04-07,1.3,0.0,0.0,,18.3,4.4,6.7
USC00439184,1991-04-08,0.0,0.0,0.0,,23.9,2.8,3.9
USC00439184,1991-04-09,11.7,0.0,0.0,,22.8,10.0,12.2
USC00439184,1991-04-10,8.4,0.0,0.0,,21.1,5.6,5.6
USC00439184,1991-04-11,10.9,15.0,25.0,,7.2,-2.2,-2.2
USC00439184,1991-04-12,1.5,13.0,25.0,,-1.1,-5.0,-5.0
USC00439184,1991-04-13,0.0,0.0,0.0,,5.0,-5.0,-5.0
USC00439184,1991-04-14,0.0,0.0,0.0,,8.3,-6.1,-6.1
USC00439184,1991-04-15,0.0,0.0,0.0,,15.0,0.6,13.3
USC00439184,1991-04-16,12.4,0.0,0.0,,6.7,2.2,3.3
USC00439184,1991-04-17,0.5,0.0,0.0,,12.8,1.7,1.7
USC00439184,1991-04-18,0.3,0.0,0.0,,10.0,1.7,1.7
USC00439184,1991-04-19,0.5,0.0,0.0,,8.9,-0.6,-0.6
USC00439184,1991-04-20,0.0,0.0,0.0,,16.1,-1.7,-1.7
USC00439184,1991-04-21,0.0,0.0,0.0,,11.1,-1.7,5.6
USC00439184,1991-04-22,22.6,0.0,0.0,,7.8,-1.1,6.7
