STATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
US1VTCL0035,2018-05-30,0.0,,,,
US1VTCL0035,2018-05-31,0.0,,,,
US1VTCL0035,2018-06-01,0.0,,,,
US1VTCL0035,2018-06-02,2.8,,,,
US1VTCL0035,2018-06-03,0.0,,,,
US1VTCL0035,2018-06-04,1.3,,,,
US1VTCL0035,2018-06-05,5.3,,,,
US1VTCL0035,2018-06-06,0.0,,,,
US1VTCL0035,2018-06-07,0.0,,,,
US1VTCL0035,2018-06-08,0.3,,,,
US1VTCL0035,2018-06-09,0.0,,,,
US1VTCL0035,2018-06-10,0.0,,,,
US1VTCL0035,2018-06-11,0.0,,,,
US1VTCL0035,2018-06-12,0.0,,,,
US1VTCL0035,2018-06-13,0.0,,,,
US1VTCL0035,2018-06-14,0.3,,,,
US1VTCL0035,2018-06-15,2.0,,,,
US1VTCL0035,2018-06-16,0.0,0.0,,,
US1VTCL0035,2018-06-17,0.0,0.0,,,
US1VTCL0035,2018-06-18,0.0,0.0,,,
US1VTCL0035,2018-06-19,11.2,,,,
US1VTCL0035,2018-06-20,0.0,0.0,,,
US1VTCL0035,2018-06-21,0.0,0.0,,,
US1VTCL0035,2018-06-22,0.0,0.0,,,
US1VTCL0035,2018-06-23,0.0,0.0,,,
US1VTCL0035,2018-06-24,3.0,,,,
US1VTCL0035,2018-06-25,1.3,,,,
US1VTCL0035,2018-06-26,0.0,0.0,,,
US1VTCL0035,2018-06-27,0.0,0.0,,,
US1VTCL0035,2018-06-28,20.3,,,,
US1VTCL0035,2018-06-29,15.7,,,,
US1VTCL0035,2018-06-30,0.0,0.0,,,
US1VTCL0035,2018-07-01,9.9,,,,
US1VTCL0035,2018-07-02,0.0,0.0,,,
US1VTCL0035,2018-07-03,0.0,0.0,,,
US1VTCL0035,2018-07-04,0.0,0.0,,,
US1VTCL0035,2018-07-05,0.0,0.0,,,
US1VTCL0035,2018-07-06,11.4,,,,
US1VTCL0035,2018-07-07,5.3,,,,
US1VTCL0035,2018-07-08,0.0,0.0,,,
US1VTCL0035,2018-07-09,0.0,0.0,,,
US1VTCL0035,2018-07-10,0.0,0.0,,,
US1VTCL0035,2018-07-11,0.0,,,,
US1VTCL0035,2018-07-12,0.0,0.0,,,
US1VTCL0035,2018-07-13,0.0,0.0,,,
US1VTCL0035,2018-07-14,0.0,0.0,,,
US1VTCL0035,2018-07-15,0.3,,,,
US1VTCL0035,2018-07-16,0.0,0.0,,,
US1VTCL0035,2018-07-17,0.0,0.0,,,
US1VTCL0035,2018-07-18,0.0,0.0,,,
US1VTCL0035,2018-07-19,0.0,0.0,,,
US1VTCL0035,2018-07-20,0.0,0.0,,,
US1VTCL0035,2018-07-21,0.0,0.0,,,
US1VTCL0035,2018-07-22,0.0,,,,
US1VTCL0035,2018-07-23,8.1,,,,
US1VTCL0035,2018-07-24,3.3,,,,
US1VTCL0035,2018-07-25,0.0,,,,
US1VTCL0035,2018-07-26,26.4,,,,
US1VTCL0035,2018-07-27,30.7,,,,
US1VTCL0035,2018-07-28,17.3,,,,
US1VTCL0035,2018-07-29,5.8,,,,
US1VTCL0035,2018-07-30,0.0,,,,
US1VTCL0035,2018-07-31,0.0,,,,
US1VTCL0035,2018-08-01,0.0,,,,
US1VTCL0035,2018-08-02,0.3,,,,
US1VTCL0035,2018-08-03,0.0,,,,
US1VTCL0035,2018-08-04,10.7,,,,
US1VTCL0035,2018-08-05,0.3,,,,
US1VTCL0035,2018-08-06,0.0,,,,
US1VTCL0035,2018-08-07,0.0,,,,
US1VTCL0035,2018-08-08,3.3,,,,
US1VTCL0035,2018-08-09,0.5,,,,
US1VTCL0035,2018-08-10,0.0,,,,
US1VTCL0035,2018-08-11,0.0,,,,
US1VTCL0035,2018-08-12,0.0,,,,
US1VTCL0035,2018-08-13,0.0,,,,
US1VTCL0035,2018-08-14,1.3,,,,
US1VTCL0035,2018-08-15,0.0,,,,
US1VTCL0035,2018-08-16,0.3,,,,
US1VTCL0035,2018-08-17,0.0,,,,
US1VTCL0035,2018-08-18,11.4,,,,
US1VTCL0035,2018-08-19,0.0,,,,
US1VTCL0035,2018-08-20,0.0,,,,
US1VTCL0035,2018-08-21,0.0,,,,
US1VTCL0035,2018-08-22,1.8,,,,
US1VTCL0035,2018-08-23,0.0,,,,
US1VTCL0035,2018-08-24,0.0,,,,
US1VTCL0035,2018-08-25,0.0,,,,
US1VTCL0035,2018-08-26,0.0,,,,
US1VTCL0035,2018-08-27,0.0,,,,
US1VTCL0035,2018-08-28,2.3,,,,
US1VTCL0035,2018-08-29,0.0,,,,
US1VTCL0035,2018-08-30,8.4,,,,
US1VTCL0035,2018-08-31,0.0,,,,
US1VTCL0035,2018-09-01,0.0,,,,
US1VTCL0035,2018-09-02,0.0,,,,
US1VTCL0035,2018-09-03,0.0,,,,
US1VTCL0035,2018-09-04,35.8,,,,
US1VTCL0035,2018-09-05,0.0,,,,
US1VTCL0035,2018-09-06,0.0,,,,
US1VTCL0035,2018-09-07,12.4,,,,
US1VTCL0035,2018-09-08,0.0,,,,
US1VTCL0035,2018-09-09,0.0,,,,
US1VTCL0035,2018-09-10,0.0,,,,
US1VTCL0035,2018-09-11,19.1,,,,
US1VTCL0035,2018-09-12,0.0,,,,
US1VTCL0035,2018-09-13,0.0,,,,
US1VTCL0035,2018-09-14,0.0,,,,
US1VTCL0035,2018-09-15,0.0,,,,
US1VTCL0035,2018-09-16,0.0,,,,
US1VTCL0035,2018-09-17,0.0,,,,
US1VTCL0035,2018-09-18,0.0,,,,
