STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1997-01-01,0.8,13.0,152.0,,-17.2,-26.1,-25.6
USC00439184,1997-01-02,0.8,13.0,152.0,,-11.1,-16.7,-12.2
USC00439184,1997-01-03,4.6,38.0,203.0,,-2.2,-7.8,-2.2
USC00439184,1997-01-04,0.8,0.0,178.0,,0.0,-3.9,-3.3
USC00439184,1997-01-05,0.0,0.0,178.0,,0.6,-2.2,0.6
USC00439184,1997-01-06,10.2,13.0,152.0,,4.4,-1.1,-1.1
USC00439184,1997-01-07,1.3,38.0,203.0,,0.0,-8.3,-7.2
USC00439184,1997-01-08,1.5,38.0,229.0,,-6.7,-17.8,-17.8
USC00439184,1997-01-09,0.0,0.0,229.0,,-12.2,-16.1,-16.1
USC00439184,1997-01-10,14.2,178.0,406.0,,-5.6,-11.1,-6.1
USC00439184,1997-01-11,5.6,127.0,483.0,,-2.8,-12.2,-11.7
USC00439184,1997-01-12,1.0,51.0,508.0,,-5.0,-12.2,-11.1
USC00439184,1997-01-13,0.8,38.0,533.0,,-7.2,-10.6,-9.4
USC00439184,1997-01-14,0.0,0.0,508.0,,-6.7,-20.6,-9.4
USC00439184,1997-01-15,0.8,38.0,508.0,,-5.0,-9.4,-6.7
USC00439184,1997-01-16,0.0,0.0,457.0,,-1.1,-6.7,-3.3
USC00439184,1997-01-17,6.9,76.0,483.0,,1.7,-23.9,-23.3
USC00439184,1997-01-18,0.0,0.0,457.0,,-17.2,-23.3,-20.6
USC00439184,1997-01-19,0.0,0.0,457.0,,-19.4,-35.6,-34.4
USC00439184,1997-01-20,0.0,0.0,457.0,,-19.4,-13.3,-13.3
USC00439184,1997-01-21,1.3,25.0,483.0,,-6.7,-13.3,-13.3
USC00439184,1997-01-22,2.3,0.0,457.0,,-5.0,-20.6,-5.6
USC00439184,1997-01-23,0.0,0.0,356.0,,6.7,1.7,4.4
USC00439184,1997-01-24,0.0,0.0,356.0,,3.9,-28.3,-28.3
USC00439184,1997-01-25,12.4,152.0,508.0,,-1.1,-11.7,-1.1
USC00439184,1997-01-26,2.8,0.0,483.0,,4.4,-16.7,-16.7
USC00439184,1997-01-27,0.0,0.0,483.0,,-15.0,-30.0,-30.0
USC00439184,1997-01-28,6.4,89.0,584.0,,-6.7,-12.2,-6.7
USC00439184,1997-01-29,4.8,64.0,635.0,,-1.7,-19.4,-16.1
USC00439184,1997-01-30,0.0,0.0,635.0,,-15.0,-30.0,-30.0
USC00439184,1997-01-31,0.0,0.0,610.0,,-8.9,-16.1,-10.6
USC00439184,1997-02-01,7.4,76.0,686.0,,-2.8,-8.3,-3.9
USC00439184,1997-02-02,0.8,0.0,660.0,,0.0,-5.6,-5.6
USC00439184,1997-02-03,0.0,0.0,660.0,,-0.6,-10.0,-6.1
USC00439184,1997-02-04,0.0,0.0,660.0,,0.6,-21.1,-21.1
USC00439184,1997-02-05,9.7,102.0,762.0,,-1.1,-6.7,-3.9
USC00439184,1997-02-06,8.1,76.0,737.0,,1.1,-5.6,-5.6
USC00439184,1997-02-07,0.0,0.0,737.0,,-1.7,-10.6,-10.6
USC00439184,1997-02-08,0.0,0.0,737.0,,-3.9,-23.3,-23.3
USC00439184,1997-02-09,0.0,0.0,737.0,,-5.6,-28.9,-23.9
USC00439184,1997-02-10,0.0,0.0,737.0,,-3.9,-18.3,-12.2
USC00439184,1997-02-11,0.0,0.0,737.0,,-3.3,-15.0,-13.9
USC00439184,1997-02-12,0.0,0.0,737.0,,-1.1,-9.4,-8.3
USC00439184,1997-02-13,2.3,64.0,787.0,,-1.1,-20.0,-20.0
USC00439184,1997-02-14,0.0,0.0,762.0,,-10.6,-25.0,-10.6
USC00439184,1997-02-15,5.6,64.0,813.0,,-2.8,-5.6,-2.8
USC00439184,1997-02-16,1.5,38.0,838.0,,0.0,-18.3,-18.3
USC00439184,1997-02-17,0.0,0.0,838.0,,-11.7,-23.3,-23.3
USC00439184,1997-02-18,0.0,0.0,838.0,,-6.7,-15.0,-7.8
USC00439184,1997-02-19,0.0,0.0,762.0,,8.9,5.0,7.2
USC00439184,1997-02-20,4.1,25.0,711.0,,8.9,-8.3,-8.3
USC00439184,1997-02-21,2.5,0.0,711.0,,1.7,-5.0,-1.1
USC00439184,1997-02-22,3.8,0.0,610.0,,8.3,4.4,7.8
USC00439184,1997-02-23,4.1,0.0,508.0,,13.9,-14.4,-14.4
USC00439184,1997-02-24,0.8,25.0,533.0,,-3.9,-12.2,-7.8
USC00439184,1997-02-25,0.5,13.0,559.0,,-5.0,-21.1,-21.1
USC00439184,1997-02-26,0.0,0.0,559.0,,-8.3,-14.4,-9.4
USC00439184,1997-02-27,3.3,0.0,508.0,,7.2,1.1,1.1
USC00439184,1997-02-28,9.7,0.0,508.0,,4.4,-4.4,-4.4
USC00439184,1997-03-01,0.0,0.0,508.0,,-0.6,-7.8,-2.2
